iter	Passed	Remaining
0	2	216
1	3	185
2	5	173
3	6	162
4	8	163
5	10	158
6	11	154
7	13	150
8	14	147
9	16	145
10	17	143
11	19	141
12	20	138
13	22	135
14	23	134
15	25	132
16	26	130
17	28	129
18	30	128
19	31	125
20	33	126
21	35	125
22	36	123
23	38	120
24	39	119
25	41	118
26	43	116
27	44	114
28	46	113
29	47	111
30	49	109
31	50	108
32	52	106
33	53	104
34	55	102
35	56	100
36	58	99
37	60	97
38	61	96
39	63	94
40	64	93
41	65	90
42	66	88
43	68	87
44	69	85
45	71	84
46	73	82
47	74	80
48	75	78
49	77	77
50	78	75
51	80	74
52	82	73
53	84	71
54	85	69
55	87	68
56	88	66
57	90	65
58	91	63
59	93	62
60	95	60
61	96	59
62	98	57
63	100	56
64	103	55
65	106	54
66	108	53
67	111	52
68	116	52
69	119	51
70	121	49
71	122	47
72	123	45
73	124	43
74	126	42
75	127	40
76	128	38
77	129	36
78	130	34
79	132	33
80	133	31
81	134	29
82	135	27
83	136	26
84	137	24
85	138	22
86	140	20
87	141	19
88	142	17
89	143	15
90	144	14
91	145	12
92	146	11
93	147	9
94	148	7
95	149	6
96	150	4
97	151	3
98	152	1
99	152	0
